,company,drivertrain,exterior_color,interior_color,mile,photos,price,review_no,star,subname,title,transmission,vendor,video,year
643,Nissan,4wd,Super Black,Charcoal,37329,21,12999,40,5.0,Altima,Nissan Altima 2.5 S,6-speed,Sheridan Nissan,0,2015
644,Dodge,rwd,Inferno Red / Crystal Pearlcoat,Dark Slate Gray,74554,21,11995,32,5.0,Challenger,Dodge Challenger SE,5-speed,Snethkamp Chrysler-Jeep-Dodge-RAM,1,2010
645,Cadillac,4wd,Graphite Metallic,Light Titanium / Ebony,19693,32,28977,14,5.0,SRX,Cadillac SRX Premium Collection,6-speed,Zeigler Pre-Owned of Chicago,1,2014
646,Porsche,4wd,Black,Agate,6833,50,59000,341,5.0,Cayenne,Porsche Cayenne Platinum Edition,8-speed,Napleton Porsche of Westmont,1,2017
647,Lexus,4wd,Starfire Pearl,Flaxen,19212,47,32000,63,5.0,GS,Lexus GS 350 350,6-speed,Napleton's Aston Martin of Chicago,1,2015
648,Jeep,4wd,Gray,Black,19869,30,16499,121,5.0,Cherokee,Jeep Cherokee Latitude,9-speed,Fairway Auto Center,1,2016
649,Mazda,4wd,Crystal White Pearl Mica,Black,117184,22,5999,5044,5.0,Mazda3,Mazda Mazda3 i Touring,5-speed,Pacifico Auto Group,0,2010
650,Ford,4wd,Oxford White,Gray,144769,32,11900,10,5.0,F-150,Ford F-150 XLT,6-speed,Highland Park Truck & Auto Center,1,2012
651,Ford,4wd,Red,Gray,175244,32,9995,10,5.0,F-150,Ford F-150 XLT,6-speed,Highland Park Truck & Auto Center,1,2011
652,Ford,4wd,Ingot Silver Metallic,Brunello,31415,32,27300,1102,5.0,F-150,Ford F-150 XLT,6-speed,Wickstrom Auto Group,1,2015
653,Ford,4wd,Oxford White,Black,43590,28,10590,45,5.0,Focus,Ford Focus SE,6-speed,Hertz Car Sales Crystal Lake,1,2016
654,Hyundai,4wd,Shale Gray Metallic,Gray,76085,28,8290,45,5.0,Elantra,Hyundai Elantra SE,6-speed,Hertz Car Sales Crystal Lake,1,2016
655,Lexus,4wd,White,Black,41276,23,26998,6,5.0,NX,Lexus NX 200t,6-speed,CarMax Gulf Freeway,1,2015
656,Alfa,rwd,Rosso,Black,10654,41,29992,957,5.0,Romeo,Alfa Romeo Giulia Ti,8-speed,Bonham Chrysler Jeep Dodge Ram,1,2017
657,Jeep,4wd,Black / Black,Black / Dark Olive,139888,32,19900,28,5.0,Wrangler,Jeep Wrangler Unlimited Rubicon,4-speed,Autos-Mobiles,1,2011
658,Cadillac,rwd,Silver Coast Metallic,Light Cashmere,31902,50,26695,679,5.0,CTS,Cadillac CTS 2.0L Turbo Luxury,6-speed,Gold Coast Cadillac,0,2015
659,Cadillac,4wd,Radiant Silver Metallic,Shale,42984,48,20399,679,5.0,XTS,Cadillac XTS Base,6-speed,Gold Coast Cadillac,0,2015
660,Jeep,4wd,Brilliant Black Crystal Pearlcoat,Black,42380,25,23873,363,5.0,Grand,Jeep Grand Cherokee Limited,8-speed,Transitowne Dodge Chrysler Jeep RAM of West Seneca,1,2015
661,Chevrolet,4wd,Red Tinted Clearcoat,Jet Black,11648,32,14298,93,5.0,Cruze,Chevrolet Cruze LT Automatic,6-speed,Clay Cooley Chevrolet Dallas,0,2016
662,Dodge,4wd,Silver,Gray,144829,26,4950,153,5.0,Dakota,Dodge Dakota Sport/SXT,5-speed,Korz Auto Farm,1,2004
663,Hyundai,4wd,Scarlet Red Pearl,Gray,42445,32,8495,1544,5.0,Elantra,Hyundai Elantra SE,6-speed,Hillside Automall,1,2017
664,BMW,4wd,Silver,Beige,78699,32,9995,33,5.0,135,BMW 135 i,6-speed,Highline Motors,0,2009
665,Nissan,4wd,Magnetic Gray Metallic,Black,48181,32,7800,7,5.0,Versa,Nissan Versa Note SV,next,Super Auto Land,1,2015
666,Chevrolet,4wd,Silver Ice Metallic,Jet Black,6132,20,31977,625,5.0,Silverado,Chevrolet Silverado 1500 LT,6-speed,"James Wood Motors, Inc",1,2016
667,Volkswagen,4wd,Silk Blue Metallic,Black,7616,27,15487,10,5.0,Jetta,Volkswagen Jetta 1.8T SEL,6-speed,Blasius Pre-Owned Auto,1,2016
668,GMC,4wd,Summit White,Neutral / Shale,103334,30,10500,44,5.0,Yukon,GMC Yukon,4-speed,Brustolon Buick GMC,1,2006
669,Chevrolet,4wd,Black,Ebony,153380,26,17250,29,5.0,Silverado,Chevrolet Silverado 1500 LTZ,6-speed,Stanley Chrysler Dodge Jeep - Brownwood,1,2012
670,Toyota,4wd,Magnetic Gray Metallic,Ash,231636,20,10991,22,5.0,Highlander,Toyota Highlander Limited,5-speed,Baxter Volkswagen La Vista,1,2010
671,Toyota,rwd,Magnetic Gray Metallic,Black,146000,20,14500,446,5.0,4Runner,Toyota 4Runner Limited,5-speed,Baxter Toyota Lincoln,1,2010
672,MINI,4wd,Spice Orange Metallic,Carbon Black,43636,32,12877,33,5.0,Hardtop,MINI Hardtop Cooper S,6-speed,MINI of Warwick,1,2013
673,Audi,4wd,Brilliant Black,Black,74442,32,27000,42,5.0,S5,Audi S5 3.0T Prestige quattro,7-speed,Audi Warwick,1,2013
674,Toyota,4wd,Slate Metallic,Ash,11284,25,12576,203,5.0,Corolla,Toyota Corolla LE,6-speed,Grieco Toyota,1,2015
675,Chevrolet,4wd,Slate Gray Metallic,Jet Black,48133,34,39500,69,5.0,Suburban,Chevrolet Suburban LT,6-speed,Red Wing Chevrolet Buick Cadillac,0,2016
676,Audi,4wd,Daytona Gray Pearl Effect,Black,12433,32,34995,335,5.0,A6,Audi A6 3.0T Prestige,8-speed,Boston Foreign Motor,1,2015
677,Jeep,4wd,Bright White Clearcoat,Black,14720,33,31700,168,5.0,Grand,Jeep Grand Cherokee Limited,8-speed,Prime Buick GMC,1,2017
678,MINI,4wd,Absolute Black Metallic,Carbon Black Leatherette,45016,23,21999,35,5.0,Countryman,MINI Countryman Cooper,6-speed,Mini of Bedford,1,2016
679,Chevrolet,4wd,Black,Jet Black,34709,32,45680,23,5.0,Tahoe,Chevrolet Tahoe LTZ,6-speed,Land Rover Bedford,1,2015
680,Chevrolet,4wd,White Diamond Tri-Coat,Light Cashmere,71884,26,30947,23,5.0,Tahoe,Chevrolet Tahoe LTZ,6-speed,Land Rover Bedford,1,2014
