법정동코드,법정동명
11170113,서울특별시 용산구 원효로2가
11170114,서울특별시 용산구 신창동
11170115,서울특별시 용산구 산천동
11170116,서울특별시 용산구 청암동
11170117,서울특별시 용산구 원효로3가
11170118,서울특별시 용산구 원효로4가
11170119,서울특별시 용산구 효창동
11170120,서울특별시 용산구 도원동
11170121,서울특별시 용산구 용문동
11170122,서울특별시 용산구 문배동
11170123,서울특별시 용산구 신계동
11170124,서울특별시 용산구 한강로1가
11170125,서울특별시 용산구 한강로2가
11170126,서울특별시 용산구 용산동3가
11170127,서울특별시 용산구 용산동5가
11170128,서울특별시 용산구 한강로3가
11170129,서울특별시 용산구 이촌동
11170130,서울특별시 용산구 이태원동
11170131,서울특별시 용산구 한남동
11170132,서울특별시 용산구 동빙고동
11170133,서울특별시 용산구 서빙고동
11170134,서울특별시 용산구 주성동
11170135,서울특별시 용산구 용산동6가
11170136,서울특별시 용산구 보광동
11200101,서울특별시 성동구 상왕십리동
11200102,서울특별시 성동구 하왕십리동
11200103,서울특별시 성동구 홍익동
11200104,서울특별시 성동구 도선동
11200105,서울특별시 성동구 마장동
11200106,서울특별시 성동구 사근동
11200107,서울특별시 성동구 행당동
11200108,서울특별시 성동구 응봉동
11200109,서울특별시 성동구 금호동1가
11200110,서울특별시 성동구 금호동2가
11200111,서울특별시 성동구 금호동3가
11200112,서울특별시 성동구 금호동4가
11200113,서울특별시 성동구 옥수동
11200114,서울특별시 성동구 성수동1가
11200115,서울특별시 성동구 성수동2가
11200118,서울특별시 성동구 송정동
11200122,서울특별시 성동구 용답동
11215101,서울특별시 광진구 중곡동
11215102,서울특별시 광진구 능동
11215103,서울특별시 광진구 구의동
11215104,서울특별시 광진구 광장동
11215105,서울특별시 광진구 자양동
11215107,서울특별시 광진구 화양동
11215109,서울특별시 광진구 군자동
11230101,서울특별시 동대문구 신설동
11230102,서울특별시 동대문구 용두동
11230103,서울특별시 동대문구 제기동
11230104,서울특별시 동대문구 전농동
11230105,서울특별시 동대문구 답십리동
11230106,서울특별시 동대문구 장안동
11230107,서울특별시 동대문구 청량리동
11230108,서울특별시 동대문구 회기동
11230109,서울특별시 동대문구 휘경동
11230110,서울특별시 동대문구 이문동
11260101,서울특별시 중랑구 면목동
11260102,서울특별시 중랑구 상봉동
11260103,서울특별시 중랑구 중화동
11260104,서울특별시 중랑구 묵동
11260105,서울특별시 중랑구 망우동
11260106,서울특별시 중랑구 신내동
11290101,서울특별시 성북구 성북동
11290102,서울특별시 성북구 성북동1가
11290103,서울특별시 성북구 돈암동
11290104,서울특별시 성북구 동소문동1가
11290105,서울특별시 성북구 동소문동2가
11290106,서울특별시 성북구 동소문동3가
11290107,서울특별시 성북구 동소문동4가
11290108,서울특별시 성북구 동소문동5가
11290109,서울특별시 성북구 동소문동6가
11290110,서울특별시 성북구 동소문동7가
11290111,서울특별시 성북구 삼선동1가
11290112,서울특별시 성북구 삼선동2가
11290113,서울특별시 성북구 삼선동3가
11290114,서울특별시 성북구 삼선동4가
11290115,서울특별시 성북구 삼선동5가
11290116,서울특별시 성북구 동선동1가
11290117,서울특별시 성북구 동선동2가
11290118,서울특별시 성북구 동선동3가
11290119,서울특별시 성북구 동선동4가
11290120,서울특별시 성북구 동선동5가
11290121,서울특별시 성북구 안암동1가
11290122,서울특별시 성북구 안암동2가
11290123,서울특별시 성북구 안암동3가
11290124,서울특별시 성북구 안암동4가
11290125,서울특별시 성북구 안암동5가
11290126,서울특별시 성북구 보문동4가
11290127,서울특별시 성북구 보문동5가
11290128,서울특별시 성북구 보문동6가
11290129,서울특별시 성북구 보문동7가
11290130,서울특별시 성북구 보문동1가
11290131,서울특별시 성북구 보문동2가
11290132,서울특별시 성북구 보문동3가
11290133,서울특별시 성북구 정릉동
11290134,서울특별시 성북구 길음동
11290135,서울특별시 성북구 종암동
11290136,서울특별시 성북구 하월곡동
11290137,서울특별시 성북구 상월곡동
11290138,서울특별시 성북구 장위동
11290139,서울특별시 성북구 석관동
11305101,서울특별시 강북구 미아동
11305102,서울특별시 강북구 번동
11305103,서울특별시 강북구 수유동
11305104,서울특별시 강북구 우이동
11320105,서울특별시 도봉구 쌍문동
11320106,서울특별시 도봉구 방학동
11320107,서울특별시 도봉구 창동
11320108,서울특별시 도봉구 도봉동
11350102,서울특별시 노원구 월계동
11350103,서울특별시 노원구 공릉동
11350104,서울특별시 노원구 하계동
11350105,서울특별시 노원구 상계동
11350106,서울특별시 노원구 중계동
11380101,서울특별시 은평구 수색동
11380102,서울특별시 은평구 녹번동
11380103,서울특별시 은평구 불광동
11380104,서울특별시 은평구 갈현동
11380105,서울특별시 은평구 구산동
11380106,서울특별시 은평구 대조동
11380107,서울특별시 은평구 응암동
11380108,서울특별시 은평구 역촌동
11380109,서울특별시 은평구 신사동
11380110,서울특별시 은평구 증산동
11380114,서울특별시 은평구 진관동
11410101,서울특별시 서대문구 충정로2가
11410102,서울특별시 서대문구 충정로3가
11410103,서울특별시 서대문구 합동
11410104,서울특별시 서대문구 미근동
11410105,서울특별시 서대문구 냉천동
11410106,서울특별시 서대문구 천연동
11410107,서울특별시 서대문구 옥천동
11410108,서울특별시 서대문구 영천동
11410109,서울특별시 서대문구 현저동
11410110,서울특별시 서대문구 북아현동
11410111,서울특별시 서대문구 홍제동
11410112,서울특별시 서대문구 대현동
11410113,서울특별시 서대문구 대신동
11410114,서울특별시 서대문구 신촌동
11410115,서울특별시 서대문구 봉원동
11410116,서울특별시 서대문구 창천동
11410117,서울특별시 서대문구 연희동
11410118,서울특별시 서대문구 홍은동
11410119,서울특별시 서대문구 북가좌동
11410120,서울특별시 서대문구 남가좌동
11440101,서울특별시 마포구 아현동
11440102,서울특별시 마포구 공덕동
11440103,서울특별시 마포구 신공덕동
11440104,서울특별시 마포구 도화동
11440105,서울특별시 마포구 용강동
11440106,서울특별시 마포구 토정동
11440107,서울특별시 마포구 마포동
11440108,서울특별시 마포구 대흥동
11440109,서울특별시 마포구 염리동
11440110,서울특별시 마포구 노고산동
11440111,서울특별시 마포구 신수동
11440112,서울특별시 마포구 현석동
11440113,서울특별시 마포구 구수동
11440114,서울특별시 마포구 창전동
11440115,서울특별시 마포구 상수동
11440116,서울특별시 마포구 하중동
11440117,서울특별시 마포구 신정동
11440118,서울특별시 마포구 당인동
11440120,서울특별시 마포구 서교동
11440121,서울특별시 마포구 동교동
11440122,서울특별시 마포구 합정동
11440123,서울특별시 마포구 망원동
11440124,서울특별시 마포구 연남동
11440125,서울특별시 마포구 성산동
11440126,서울특별시 마포구 중동
11440127,서울특별시 마포구 상암동
11470101,서울특별시 양천구 신정동
11470102,서울특별시 양천구 목동
11470103,서울특별시 양천구 신월동
11500101,서울특별시 강서구 염창동
11500102,서울특별시 강서구 등촌동
11500103,서울특별시 강서구 화곡동
11500104,서울특별시 강서구 가양동
11500105,서울특별시 강서구 마곡동
11500106,서울특별시 강서구 내발산동
11500107,서울특별시 강서구 외발산동
11500108,서울특별시 강서구 공항동
11500109,서울특별시 강서구 방화동
11500110,서울특별시 강서구 개화동
11500111,서울특별시 강서구 과해동
11500112,서울특별시 강서구 오곡동
11500113,서울특별시 강서구 오쇠동
11530101,서울특별시 구로구 신도림동
11530102,서울특별시 구로구 구로동
11530103,서울특별시 구로구 가리봉동
11530106,서울특별시 구로구 고척동
11530107,서울특별시 구로구 개봉동
11530108,서울특별시 구로구 오류동
11530109,서울특별시 구로구 궁동
11530110,서울특별시 구로구 온수동
11530111,서울특별시 구로구 천왕동
11530112,서울특별시 구로구 항동
11545101,서울특별시 금천구 가산동
11545102,서울특별시 금천구 독산동
11545103,서울특별시 금천구 시흥동
11560101,서울특별시 영등포구 영등포동
11560102,서울특별시 영등포구 영등포동1가
11560103,서울특별시 영등포구 영등포동2가
11560104,서울특별시 영등포구 영등포동3가
11560105,서울특별시 영등포구 영등포동4가
11560106,서울특별시 영등포구 영등포동5가
11560107,서울특별시 영등포구 영등포동6가
11560108,서울특별시 영등포구 영등포동7가
11560109,서울특별시 영등포구 영등포동8가
11560110,서울특별시 영등포구 여의도동
11560111,서울특별시 영등포구 당산동1가
11560112,서울특별시 영등포구 당산동2가
11560113,서울특별시 영등포구 당산동3가
11560114,서울특별시 영등포구 당산동4가
11560115,서울특별시 영등포구 당산동5가
11560116,서울특별시 영등포구 당산동6가
11560117,서울특별시 영등포구 당산동
11560118,서울특별시 영등포구 도림동
11560119,서울특별시 영등포구 문래동1가
